x,y,z
2.7048280201895363,-3.081835450931677,2.882990710362509
2.6952432063983194,-3.0732190974679194,2.925021898915116
2.68444537723358,-3.063460444012688,2.9600253240192336
2.672438519216728,-3.052513492495556,2.988288760267846
2.659227399836992,-3.040334754803009,3.010094485566987
2.6448175526131346,-3.026883217408422,3.025719325988859
2.62921526215516,-3.0121203060020254,3.035434700624965
2.612427549226031,-2.9960098501208887,3.039506666439235
2.594462155803374,-2.9785180477788886,3.038195963121157
2.575327530141195,-2.959613430096683,3.0317580579388945
2.5550328118315933,-2.9392668259316914,3.02044319059242
2.53358781686647,-2.9174513265080617,3.0044964180666405
2.511003022699237,-2.894142250046646,2.9841576594845285
2.48728955330654,-2.8693171063949814,2.959661740960239
2.4624591642499563,-2.842955561657256,2.931238440452246
2.4365242277377157,-2.8150394028242847,2.899112532616463
2.409497717686409,-2.7855525024034864,2.8635038336593777
2.3813931947827025,-2.754480783048858,2.8246272461911697
2.3522247915450456,-2.721812182190945,2.7826928040788435
2.3220071973853877,-2.6875366166668213,2.7379057172993506
2.290755643670883,-2.6516459473500547,2.690466416792725
2.2584858887856103,-2.6141339437806894,2.640570599315199
2.22521420319228,-2.57499624879522,2.5884092722923397
2.1909573544939462,-2.534230343156557,2.5341687986721704
2.155732592495721,-2.491835510184012,2.4780309417782966
2.119557634266483,-2.4478128003832644,2.420172910163041
2.082450649200591,-2.402164996076338,2.360767402460559
2.0444302440795963,-2.3548965760315745,2.299982652239976
2.005515448133953,-2.306013680093611,2.2379824728585045
1.965725698104732,-2.255524073813348,2.174926302314582
1.9250808233053287,-2.20343711307793,2.1109692481009885
1.8836010306831796,-2.1497637087407164,2.046262132057979
1.8413068898814728,-2.094516291251256,1.9809515352264069
1.798219318300857,-2.0377087752852603,1.915179842700853
1.7543595661611555,-1.9793565243745768,1.8490852884827529
1.7097492015630793,-1.9194763155371704,1.7828020003335212
1.6644100955499372,-1.8580863039070896,1.7164600446276828
1.6183644071693473,-1.7952059873644417,1.6501854712059956
1.5716345685349484,-1.7308561711653707,1.5841003582285786
1.5242432698881152,-1.6650589325720295,1.5183228570280405
1.4762134446596664,-1.597837585482553,1.4529672369626043
1.4275682545315775,-1.5292166450610338,1.3881439302692369
1.3783310744986943,-1.4592217923674964,1.3239595769167725
1.3285254779304427,-1.3878798389878704,1.2605170694590435
1.2781752216325406,-1.3152186916639648,1.1979155978880032
1.2273042309087117,-1.2412673169234438,1.136250694486857
1.175936584622393,-1.166055705709798,1.0756142786831844
1.1240965002584535,-1.0896148380123227,1.0160947019020743
1.0718083189849008,-1.0119766474960885,0.9577767924192394
1.0190964907145916,-0.9331739861319164,0.9007419002141558
0.96598555916695,-0.8532405888263535,0.8450679418231803
0.9125001469296724,-0.7722110380516439,0.7908294451926847
0.8586649405204442,-0.6901207284757079,0.7380975945321764
0.8045046754486487,-0.6070058315921117,0.6869402751674312
0.7500441212770806,-0.5229032603500439,0.6374221183936126
0.695308066683656,-0.4378506337842869,0.5896045463284079
0.6403213045231272,-0.3518862416451969,0.5435458167651485
0.5851086168887917,-0.2650490090286715,0.4993010680259396
0.5296947601742047,-0.1773784610061277,0.4569223638147872
0.474104450134892,-0.0889146872544758,0.4164587380707209
0.4183623469500606,0.0003016933139084,0.3779562398209288
0.3624930402843109,0.0902295679212068,0.3414579780338773
0.3065210343493496,0.1808273652941858,0.307004166472438
0.2504707329656986,0.2720530910342242,0.2746321685470229
0.1943664246244098,0.3638643629873359,0.2443765421687024
0.1382322675487766,0.4562184466141968,0.2162690846023351
0.0820922747560433,0.5490722903601707,0.1903388773196951
0.0259702991191202,0.6423825610253353,0.1666123308526005
-0.0301099815717074,0.7361056791345091,0.1451132296460358
-0.086125079547066,0.8301978543072746,0.1258627769112842
-0.1420517119967819,0.9246151206280058,0.1088796394790534
-0.1978668160081701,1.0193133720158936,0.0941799926525956
-0.2535475635043214,1.1142483975949715,0.0817775650608464
-0.3090713761823929,1.209375917064143,0.0716836835115385
-0.364415940451894,1.3046516160672057,0.0639073178443434
-0.4195592223729735,1.4000311815628754,0.0584551257839837
-0.4744794825947122,1.4954703371948166,0.0553314977933695
-0.5291552912934068,1.590924878661664,0.0545386019267234
-0.5835655431108602,1.6863507090870502,0.0560764286827026
-0.6376894720926691,1.7817038743896332,0.0599428358575354
-0.6915066666265114,1.8769405986531165,0.0661335933981377
-0.7449970843804364,1.972017319496282,0.074642428255247
-0.7981410672411515,2.066890723443011,0.0854610692365457
-0.8509193562523111,2.161517781292313,0.0985792918597911
-0.9033131065528032,2.255855783488349,0.113984963205939
