Centripetal_Acceleration,Angle_Degrees,Angle_Radians
0.01472216911479902,0.08407403768589027,0.0014673687730645793
0.01417051644638771,0.1110614183633772,0.0019383874223758242
0.013631476881312788,0.14670028058882947,0.0025604029098746
0.013104998544897242,0.18964793269232735,0.0033099808450817066
0.012591036193431965,0.23100720303493966,0.004031836288782734
0.012089551990854803,0.2529402307492334,0.004414639837328326
0.011600516385041,0.241946628932965,0.004222765288981215
0.011123909096177767,0.20502044439103798,0.0035782817885255534
0.010659720230693335,0.1608022519194722,0.0028065287406161617
0.01020795153499474,0.12182308212205051,0.002126213887957222
0.009768617803645656,0.09155003732564261,0.0015978495816561676
0.009341748456236613,0.06909623749793799,0.0012059568450789866
0.00892738929575014,0.052583391675478805,0.0009177533166028828
0.008525604457980911,0.04034101455276609,0.0007040835275407161
0.008136478555807406,0.031130819841011195,0.000543335305070823
0.0077601190125712975,0.02408790100579043,0.00042041318244549666
0.0073966585640040374,0.018619058787144423,0.0003249638794580522
0.007046257885951521,0.014319620383304865,0.00024992452332436236
0.006709108272977474,0.010916738714806366,0.00019053303415330532
0.006385434247635389,0.008235698476955064,0.0001437400546243482
0.006075495918231737,0.006185907023539746,0.00010796444478301094
0.0057795908208637115,0.00476092590417885,8.309383247140899e-05
0.0054980548770306534,0.004015841928502032,7.008966389199918e-05
0.005231261971692625,0.003939692990292674,6.876061419834816e-05
0.004979621514466252,0.004338844619929754,7.572712435021619e-05
0.004743573204578635,0.0049712901539923195,8.67653812591419e-05
0.004523578108777002,0.00568393949942499,9.920345874912441e-05
0.004320105130214967,0.006404653586385701,0.00011178229253209355
0.004133612065058862,0.0071033559790184475,0.00012397694977509715
0.0039645207941593754,0.007768974931424637,0.0001355941920582606
0.0038131868118129876,0.00839880446573161,0.00014658679115821987
0.0036798642741427924,0.008993766451492614,0.000156970836733953
0.0035646689747755797,0.009556265804563518,0.00016678830248537834
0.0034675428983154456,0.0100892001721139,0.00017608976189616615
0.0033882248963081124,0.010595501033284603,0.0001849263789292776
0.0033262321608732584,0.011077927298262156,0.00019334630565123452
0.0032808562479523535,0.011538981515840346,0.00020139321977818026
0.003251175446432454,0.011980885991586648,0.00020910590785925266
0.0032360827145181746,0.01240558768825912,0.00021651835080499355
0.0032343259031934837,0.012814776164727662,0.00022366003698058893
0.0032445552535361214,0.01320990654177922,0.00023055636303478526
0.0032653725973406495,0.013592223461726475,0.00023722905207394847
0.0032953772912098006,0.013962784087521708,0.0002436965550723259
0.003333205305282706,0.014322479281684642,0.0002499744205140694
0.0033775595619136,0.014672052676915712,0.000256075627238227
0.0034272311397019898,0.015012117643030972,0.00026201088056762123
0.003481112070871329,0.015343172295857204,0.00026778887426348575
0.0035382011010642424,0.015665612752492505,0.0002734165218734057
0.003597604015890945,0.015979744854139027,0.00027889916133334706
0.003658530090060585,0.01628579457065185,0.0002842407365612911
0.0037202860062316616,0.016583917283805504,0.0002894439594808009
0.003782268318622284,0.016874206125017943,0.000294510455541757
0.0038439552638472223,0.0171566995199898,0.00029944089539915266
0.003904898482071069,0.017431388071335922,0.00030423511503767603
0.0039647150183102645,0.017698220889229798,0.0003088922262622986
0.0040230798271516585,0.017957111462053886,0.0003134107191604531
0.004079718898570737,0.01820794314177583,0.0003177885578399089
0.004134403050051054,0.018450574303734875,0.0003220232704840339
0.004186942382920506,0.018684843228101596,0.00032611203454933874
0.004237181371847333,0.018910572737115442,0.00033005175770054054
0.004284994540320999,0.01912757461302701,0.0003338391549182016
0.004330282667411955,0.01933565381188467,0.00033747082204317976
0.004372969469227396,0.019534612480996718,0.000340943305894571
0.004412998699981844,0.01972425378051559,0.00034425317096893604
0.004450331621124948,0.019904385504608706,0.0003473970626416549
0.004484944791439184,0.020074823492790418,0.00035037176670590095
0.0045168281358879455,0.020235394818543084,0.0003531742650245773
0.004545983255800794,0.020385940740131617,0.00035580178703174646
0.0045724219475720635,0.020526319396580752,0.00035825185678630984
0.004596164901237162,0.02065640823163854,0.00036052233527815203
0.004617240554079471,0.02077610612886569,0.0003626114576924796
0.004635684077771851,0.020885335241833686,0.000364517865352804
0.004651536480510257,0.020984042506180918,0.0003662406321112996
0.00466484380814249,0.02107220082198447,0.0003677792849850845
0.004675656430548812,0.02114980989895959,0.00036913381890773405
0.0046840284014243415,0.021216896760304832,0.00037030470552303746
0.004690016881285398,0.02127351590510188,0.00037129289601940934
0.004693681614946061,0.021319749133385447,0.0003720998180767838
0.004695084455925262,0.02135570504245717,0.000372727367075633
0.004694288931325843,0.021381518206970568,0.0003731778917867508
0.004691359841605297,0.021397348059538242,0.000373454174834162
0.004686362890480913,0.021403377492355286,0.0003735594082888472
0.004679364340862311,0.021399811203280893,0.00037349716480242115
0.004670430693321305,0.02138687381305257,0.0003732713647463216
0.004659628384114405,0.021364807782273332,0.00037288623985637744
0.004647023500229464,0.021333871158433493,0.0003723462939109213
0.004632681509334758,0.02129433518434202,0.0003716562609900419
0.004616667002851196,0.021246481799595193,0.0003708210618679862
0.004599043450698001,0.02119060106643939,0.000369845759085989
0.004579872966537526,0.021126988550699204,0.00036873551124084607
0.004559216082603414,0.0210559426870231,0.000367495526999775
0.004537131533427248,0.02097776215564842,0.0003661310193163281
0.0045136760479911825,0.020892743296316824,0.00036464716029470184
0.004488904150030365,0.020801177581810843,0.00036304903709463135
0.004462867966381215,0.02070334917102413,0.0003613416092244097
0.004435617043446157,0.02059953255925619,0.00035952966753079445
0.004407198171982415,0.020489990339213008,0.0003576177951210968
0.004377655220581761,0.02037497108472932,0.00035561033042716715
